id,timestamp,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
1,4/7/2017 13:47,2,處女座,Apple,154,43,2,180,583,0,Beautiful
2,4/7/2017 13:48,2,處女座,Apple,156,47,2,130,400,3.5,Enjoying being who I'm notsss
3,4/7/2017 13:49,1,射手座,Android,170,61,3,90,540,5,Practice Makes perfect
4,4/7/2017 13:49,1,射手座,Apple,170,62,4,100,173,5,Straightforward
5,4/7/2017 13:54,2,射手座,Android,158,67,3,128,320,1.2,Humorous
6,4/7/2017 13:55,2,摩羯座,Android,158,50,3,100,903,2,I am cute
7,4/7/2017 13:56,1,天秤座,Android,165,50,4,115,209,9.59,Homo sapiens
8,4/7/2017 13:56,2,雙子座,Android,170,57,4,100,1200,,Um..Haha
9,4/7/2017 13:57,2,射手座,Android,168,52,2,100,580,5.34,I am quite.
10,4/7/2017 14:00,2,牡羊座,Apple,165,55,5,130,542,2,Beautiful
11,4/7/2017 14:01,2,天秤座,Android,164,52,3,180,300,1,Beautiful and smart
12,4/7/2017 14:03,2,處女座,Android,168,55,2,180,300,0.87,Beautiful and smart
13,4/7/2017 14:25,2,雙魚座,Apple,163,60,3,200,160,64,Brilliant
14,4/7/2017 14:28,1,水瓶座,Android,168,53,4,100,300,2.5,Work hard play hard
15,4/7/2017 14:28,2,雙子座,Apple,163,52,5,98,1200,2,Q
16,4/7/2017 13:47,2,處女座,Apple,154,43,2,180,583,0,Beautiful
17,4/7/2017 13:48,2,處女座,Apple,156,47,2,130,400,3.5,Enjoying being who I'm not
18,4/7/2017 13:49,1,射手座,Android,170,61,3,90,540,5,Practice Makes perfect
19,4/7/2017 13:49,1,射手座,Apple,170,62,4,100,173,5,Straightforward
20,4/7/2017 13:54,2,射手座,Android,158,67,3,128,320,1.2,Humorous
21,4/7/2017 13:55,2,摩羯座,Android,158,50,3,,903,2,I am cute
22,4/7/2017 13:56,1,天秤座,Android,165,50,4,115,209,9.59,Homo sapiens
23,4/7/2017 13:56,2,雙子座,Android,170,57,4,100,1200,,Um..Haha
24,4/7/2017 13:57,2,射手座,Android,168,52,2,,580,5.34,I am quite.
25,4/7/2017 14:00,2,牡羊座,Apple,165,55,5,130,542,2,Beautiful
26,4/7/2017 14:01,2,天秤座,Android,164,52,3,180,300,1,Beautiful and smart
27,4/7/2017 14:03,2,處女座,Android,168,55,2,180,300,0.87,Beautiful and smart
28,4/7/2017 14:25,2,雙魚座,Apple,163,60,3,200,160,64,Brilliant
29,4/7/2017 14:28,1,水瓶座,Android,168,53,4,100,300,2.5,Work hard play hard
30,4/7/2017 14:28,2,雙子座,Apple,163,52,5,98,1200,2,Q
31,3/11/2017 10:31,1,金牛座,Android,175,75,5,50,200,1,I am so handsome
32,3/11/2017 10:32,1,射手座,Android,169,75,1,90,0,41,I just wanna run.
33,3/11/2017 10:32,1,射手座,Android,169,75,1,90,0,41,I just wanna run.
34,3/11/2017 10:36,1,摩羯座,Android,180,60,3,120,404,0.37,Surprising
35,3/11/2017 10:37,1,摩羯座,Apple,170,55,1,199,611,0,Very lazy
36,3/11/2017 10:42,1,摩羯座,Apple,162,43,5,180,6666,87,handsome
37,3/11/2017 10:43,1,摩羯座,Apple,100,180,5,100,50,10,Fake
38,3/11/2017 10:43,1,金牛座,Android,175,75,5,87,9487,87,I am fine thank u
39,3/11/2017 10:43,2,水瓶座,Apple,163,48,2,87,250,4,tired
40,3/11/2017 10:43,2,水瓶座,Apple,163,48,2,87,250,4,tired
41,3/11/2017 10:43,1,水瓶座,Android,165,47,2,105,800,3,Be happy
42,3/11/2017 10:43,1,摩羯座,Android,169,73,5,105,67,1.7,Lazy
43,3/11/2017 10:44,1,巨蟹座,Apple,175,80,4,120,500,0.187,Hi
44,3/11/2017 10:44,1,處女座,Apple,175,50,5,100,469,10,I am fakes' fans
