company,date,price
2330,2021/1/29,591
2330,2021/1/28,601
2330,2021/1/27,615
2330,2021/1/26,617
2330,2021/1/25,633
2330,2021/1/22,649
2330,2021/1/21,673
2330,2021/1/20,647
2330,2021/1/19,627
2330,2021/1/18,607
2330,2021/1/15,601
2330,2021/1/14,592
2330,2021/1/13,605
2330,2021/1/12,591
2330,2021/1/11,584
2330,2021/1/8,580
2330,2021/1/7,565
2330,2021/1/6,549
2330,2021/1/5,542
2330,2021/1/4,536
2330,2020/12/31,530
2330,2020/12/30,525
2330,2020/12/29,515
2330,2020/12/28,515
2330,2020/12/25,511
2330,2020/12/24,510
2330,2020/12/23,509
2330,2020/12/22,509
2330,2020/12/21,516
2330,2020/12/18,510
2330,2020/12/17,508
2330,2020/12/16,512
2330,2020/12/15,504
2330,2020/12/14,508
2330,2020/12/11,516
2330,2020/12/10,512
2330,2020/12/9,520
2330,2020/12/8,524
2330,2020/12/7,514
2330,2020/12/4,503
2330,2020/12/3,497
2330,2020/12/2,499
2330,2020/12/1,490
2330,2020/11/30,480.5
2330,2020/11/27,489
2330,2020/11/26,489
2330,2020/11/25,487
2330,2020/11/24,492
2330,2020/11/23,496.5
2330,2020/11/20,488
2330,2020/11/19,490
2330,2020/11/18,497
2330,2020/11/17,485.5
2330,2020/11/16,484
2330,2020/11/13,462
2330,2020/11/12,458
2330,2020/11/11,457
2330,2020/11/10,451
2330,2020/11/9,458.5
2330,2020/11/6,452.5
2330,2020/11/5,451
2330,2020/11/4,450
2330,2020/11/3,441
2330,2020/11/2,435.5
2330,2020/10/30,432
2330,2020/10/29,437
2330,2020/10/28,444
2330,2020/10/27,447
2330,2020/10/26,450
2330,2020/10/23,452
2330,2020/10/22,455
2330,2020/10/21,453
2330,2020/10/20,451
2330,2020/10/19,457.5
2330,2020/10/16,449
2330,2020/10/15,453
2330,2020/10/14,459
2330,2020/10/13,462
2330,2020/10/12,460
2330,2020/10/8,453
2330,2020/10/7,443
2330,2020/10/6,439.5
2330,2020/10/5,432.5
2330,2020/9/30,433
2330,2020/9/29,431
2330,2020/9/28,431.5
2330,2020/9/25,424
2330,2020/9/24,423
2330,2020/9/23,433.5
2330,2020/9/22,437
2330,2020/9/21,440
2330,2020/9/18,444
2330,2020/9/17,448.5
2330,2020/9/16,458
2330,2020/9/15,445
2330,2020/9/14,441
2330,2020/9/11,436.5
2330,2020/9/10,435
2330,2020/9/9,427
2330,2020/9/8,431
2330,2020/9/7,426
2330,2020/9/4,429
2330,2020/9/3,436
2330,2020/9/2,433
2330,2020/9/1,435
2330,2020/8/31,426.5
2330,2020/8/28,435
2330,2020/8/27,444
2330,2020/8/26,442
2330,2020/8/25,434.5
2330,2020/8/24,428
2330,2020/8/21,424.5
2330,2020/8/20,415
2330,2020/8/19,427.5
2330,2020/8/18,433
2330,2020/8/17,435
2330,2020/8/14,427
2330,2020/8/13,429
2330,2020/8/12,419
2330,2020/8/11,429
2330,2020/8/10,435.5
2330,2020/8/7,433
2330,2020/8/6,435
2330,2020/8/5,429
2330,2020/8/4,425.5
2330,2020/8/3,416
2330,2020/7/31,425.5
2330,2020/7/30,434
2330,2020/7/29,422
2330,2020/7/28,435
2330,2020/7/27,424.5
2330,2020/7/24,386
2330,2020/7/23,381.5
2330,2020/7/22,384
2330,2020/7/21,383
2330,2020/7/20,366
2330,2020/7/17,367
2330,2020/7/16,357.5
2330,2020/7/15,363
2330,2020/7/14,363.5
2330,2020/7/13,354.5
2330,2020/7/10,348.5
2330,2020/7/9,345
2330,2020/7/8,341
2330,2020/7/7,338.5
2330,2020/7/6,338
2330,2020/7/3,329.5
2330,2020/7/2,322
2330,2020/7/1,317.5
2330,2020/6/30,313
2330,2020/6/29,312
2330,2020/6/24,317.5
2330,2020/6/23,315
2330,2020/6/22,312
2330,2020/6/19,314.5
2330,2020/6/18,314.5
2330,2020/6/17,315
2330,2020/6/16,315
2330,2020/6/15,309.5
2330,2020/6/12,316
2330,2020/6/11,320.5
2330,2020/6/10,322.5
2330,2020/6/9,319
2330,2020/6/8,318
2330,2020/6/5,311.5
2330,2020/6/4,306
2330,2020/6/3,301
2330,2020/6/2,296.5
2330,2020/6/1,295.5
2330,2020/5/29,292
2330,2020/5/28,294
2330,2020/5/27,296.5
2330,2020/5/26,295.5
2330,2020/5/25,292
2330,2020/5/22,292
2330,2020/5/21,297.5
2330,2020/5/20,294
2330,2020/5/19,291.5
2330,2020/5/18,290
2330,2020/5/15,298
2330,2020/5/14,293
2330,2020/5/13,297
2330,2020/5/12,295
2330,2020/5/11,301
2330,2020/5/8,297.5
2330,2020/5/7,297.5
2330,2020/5/6,296
2330,2020/5/5,295.5
2330,2020/5/4,295
2330,2020/4/30,304.5
2330,2020/4/29,299
2330,2020/4/28,296.5
2330,2020/4/27,298
2330,2020/4/24,294
2330,2020/4/23,295.5
2330,2020/4/22,294
2330,2020/4/21,295
2330,2020/4/20,304
2330,2020/4/17,306.5
2330,2020/4/16,286.5
2330,2020/4/15,287.5
2330,2020/4/14,285
2330,2020/4/13,278.5
2330,2020/4/10,279.5
2330,2020/4/9,283
